Defect ID,Area,Kind,Severity,Title,User impact,Suggested fix,Fix status,Defer reason / notes
D17,Run Control,inconsistency,medium,"Stopping a run looks identical to a crash: a deliberate Stop renders a red ""error"" box","When the user clicks Stop, the cancelled turn is rendered in the same red, destructive-bordered ""assistant-error"" alert box used for genuine worker/provider failures, with the copy ""This reply stopped before it finished. Nothing was saved without your approval."" A user who intentionally stopped a run sees what looks like an error state (red border, red text, alert role), which reads as ""something broke"" rather than ""you stopped this.""","Distinguish a user-cancelled turn from a failure. E.g. give cancelled messages a neutral/muted style (not destructive red, not role=alert) and copy like ""You stopped this reply."", while keeping the red error box only for `error` events that carry a real `message`. This needs a way to tell the two `incomplete` causes apart (e.g. a `cancelled` flag on the message, or a sentinel).",fixed,
D18,Run History,bug,medium,"Approving or rejecting a proposal does not refresh the Runs feed — a ""Waiting"" run stays ""Waiting""","A run is parked awaiting a decision and shows ""Waiting"" in the feed. The user clicks Approve/Reject on the proposal card. The run resumes (kind becomes proposal_decided → ""Running, resumed"", then eventually done/error), but the feed row keeps showing ""Waiting"" because nothing re-reads run history after the decision. The user sees a stale, contradictory status right after taking the action that changed it.","In AssistantProposals.tsx onDecide, also invalidate [""run-history""] (and [""threads""]) after decideProposal resolves, for all decisions including reject, since every decision advances the run's milestone.",fixed,
D19,Search & Palette,error-state,medium,"""No matches"" flashes during the debounce + network window for message-only queries","After the user finishes typing a query that only matches message text (e.g. a word that appears inside a chat but is not a thread title or library item name), the palette shows ""No matches for \""…\"""" for ~180ms plus the server round-trip, then the real results pop in. The user is told their search failed a fraction of a second before it succeeds — a jarring false-negative that invites them to give up or re-type.","Gate the no-results paragraph on the search actually being settled: derive isFetching from useMessageSearch and, when the trimmed query differs from debouncedQuery OR the message query is fetching, render a quiet ""Searching…"" state (or keep the previous results) instead of ""No matches"". Simplest: only show ""No matches"" when query.trim() === debouncedQuery.trim() and the message query is not pending.",fixed,
D20,Search & Palette,logistical,medium,Message search results are unbounded — a common substring can render thousands of rows,"Typing a very common word (e.g. ""the"", ""a"", ""and"") returns every message in the entire database that contains it. The threads group is capped at 5 and library at 8, but the Messages group renders every hit with no cap, producing an enormous scroll list, a sluggish/janky palette, and an active-index range in the thousands for arrow navigation.","Add a LIMIT (e.g. 20-50) to the search_messages SQL in queries.rs, and/or .slice the hits in CommandPalette.tsx:100 to a small cap consistent with the other groups.",fixed,
D21,Search & Palette,ux,medium,"onMouseMove hijacks the keyboard-selected row, fighting arrow-key navigation","Each result row sets the active selection on every mouse-move (not mouse-enter). If the cursor is resting anywhere over the result list while the user navigates with arrow keys, the active highlight jumps back to whatever row is under the pointer — including when the list auto-scrolls under a stationary cursor (the scrollIntoView on arrow-nav moves rows beneath the pointer, which fires mousemove). The result is the selection visibly snapping away from where the keyboard put it, and Enter activating the wrong row.","Switch row pointer tracking from onMouseMove to onMouseEnter (or guard setActive so a mousemove only updates active when the pointer position actually changed, ignoring scroll-induced events) so keyboard navigation isn't clobbered by an idle cursor.",fixed,
D22,Settings & Providers,error-state,medium,Every settings save failure is swallowed silently — the user is told nothing and the UI silently reverts,"If saving the preferred model or effort fails (backend down, write error, network blip), the optimistic UI flips to the new value and then — because the failed promise only runs `.catch(() => {})` and never re-reads — the UI keeps showing the value the user picked even though nothing was persisted. The user believes their preference was saved when it was not. There is no toast, inline error, or any feedback anywhere in the app (no toast/Toaster/sonner infrastructure exists at all).","On the `.catch`, revert the optimistic state to the last-known-good value and surface a visible error (a small inline message or a toast). Minimal version: capture the prior value before the optimistic set and restore it in the catch so the on-screen state never lies about what is persisted.",fixed,
D23,Settings & Providers,error-state,medium,Connect button reports success the instant a tab opens — no 'connecting' / completion / failure feedback after that,"Clicking Connect shows 'busy' only while the authorize URL is fetched, then opens a new tab and immediately clears busy. The user is left on the Settings page with the card still showing 'Not connected' and a re-enabled Connect button while the OAuth flow happens in another tab. There is no 'Connecting…' / 'Waiting for login…' state, no spinner, and no error if login fails. The card only updates to 'Connected' if/when the user returns focus to this tab (the window 'focus' listener re-queries). If they never refocus, or focus the tab before completing login, the status stays stale and stuck on 'Not connected'. If `startLogin` itself fails (can't fetch authorize URL), the error is swallowed by `.catch(() => {})` and the user sees nothing — the button just snaps back to enabled with no explanation.","After opening the tab, show a persistent 'Waiting for login… (return here when done)' state and surface an error if `startLogin` rejects (replace the empty catch). Optionally poll `provider/status` while waiting instead of relying solely on the window focus event, so the card updates even if the user never blurs/refocuses this tab.",fixed,
D24,Threads & Nav,error-state,medium,"Thread-list fetch error is silently rendered as ""No threads yet""","If `thread/list` fails (transient WS error, Core not ready), the Sidebar shows the exact same ""No threads yet."" copy as a genuinely empty account. A returning user with real threads sees an empty sidebar that falsely claims they have no conversations, with no error indication and no retry. They cannot distinguish ""load failed"" from ""truly empty"" and have no affordance to recover other than a full reload.","Read `isError`/`isLoading` from useThreads and branch: while loading show a skeleton or nothing rather than the empty-copy, and on error show a short ""Couldn't load conversations — Try again"" row that calls `refetch()`.",fixed,
D25,Chat & Shell,error-state,low,Send-failure error banner persists when switching threads,"After a failed send shows ""Couldn't send your message. Please try again."", clicking a different thread in the sidebar navigates to that thread but the stale error banner remains visible above its composer, implying the new (untouched) thread also has a problem.","Clear the error on focus change: add `useEffect(() => setSendError(null), [focusedThreadId])` (and similarly reset on successful navigation to a new thread).",fixed,
D26,Chat & Shell,error-state,low,"Sidebar shows ""No threads yet"" even when the thread list failed to load","If Core is unreachable or `thread/list` errors, the sidebar silently renders the same ""No threads yet."" empty state a brand-new user sees. A returning user with existing threads is told they have none, with no indication it was a load failure or any way to retry.",Read `isError` from `useThreads()` and render a distinct calm error state with a retry (mirroring RunFeed's FeedError) instead of the empty-state copy.,fixed,
D27,Chat & Shell,ux,low,Composer textarea never grows; multi-line input is hidden in a single visible row,"The message composer is fixed at one visible line. When a user composes a multi-line message (Shift+Enter) or pastes several lines, earlier lines scroll out of view inside the one-row textarea, so they can't see what they typed before sending.",Let the textarea grow to fit content up to a max height: add `field-sizing: content` (with a `max-height` + `overflow-y-auto`) or an onInput auto-resize that sets height from scrollHeight.,fixed,
D28,GTD Views,inconsistency,low,"Review header count disagrees with the sidebar ""Review"" badge mid-session","The Review page header count is frozen to the session snapshot (e.g. ""Review 3"") and does not change as you mark projects reviewed, while the left-nav ""Review"" badge uses the live count and ticks down (e.g. to ""1""). During a review session the two numbers visibly disagree, which can read as a bug to the user even though the queue freeze is intentional.","Either label the header count as remaining (live count of not-yet-reviewed projects in the queue) or show ""reviewed/total"" so the header reconciles with the sidebar badge; alternatively keep both as live counts.",fixed,
D29,Library / CRUD,ux,low,"No success feedback after any create, edit, or delete","Creating, editing, or deleting any Library item produces no confirmation (no toast, no inline 'Saved' state). After Save the rail just swaps back to the read view or to the new item; after Delete the rail empties. A user who blinks may be unsure whether the action took effect, especially for edits where the only signal is that the form closed.","Add a lightweight confirmation (toast or transient inline 'Saved'/'Deleted' status) on mutation success. If a global toast system isn't desired, a brief aria-live status line in the rail footer would at least confirm the write and aid screen-reader users.",deferred,Needs a shared toast/notification surface the app lacks; building one is a subsystem (§2 simplicity). Edit/create already give implicit feedback (rail returns showing updated values + list refreshes).
D30,Markdown & Copy,a11y,low,Copy success is conveyed only by an icon swap; screen readers get no confirmation,"After a successful copy, a sighted user sees the Copy icon briefly become a checkmark, but a screen-reader user hears nothing: the button's accessible name stays ""Copy"" the whole time and there is no live-region announcement. There is also no visible 'Copied' text or tooltip/title, so the affordance relies entirely on a 14px icon change that disappears after 2s.","Update the accessible name when copied (e.g. `aria-label={copied ? ""Copied"" : ""Copy""}`) and/or render a visually-hidden `role=""status""`/`aria-live=""polite""` span that says ""Copied"" while `copied` is true. A `title` attribute would also give a hover tooltip for the icon-only button.",fixed,
D31,Markdown & Copy,ux,low,Wide markdown tables in assistant replies have no horizontal scroll wrapper and can overflow the chat column,"GFM tables render (remark-gfm is enabled), and code blocks scroll because the typography plugin gives `pre` overflow-x:auto. But a table with many/wide columns has no scroll container, and the message wrapper uses `max-w-none`. A wide table can stretch the assistant message wider than intended or get clipped, since ChatMarkdown emits a bare `<table>` with no surrounding `overflow-x:auto` div.","Add a `table` component override in ChatMarkdown that wraps the table in `<div className=""overflow-x-auto"">`, or add `.prose :where(table) { display:block; overflow-x:auto; }` plus `overflow-wrap:anywhere` on the prose container so long tables/URLs cannot blow out the column width.",fixed,
D32,Proposal Card,inconsistency,low,update_todo approval shows a raw UUID and no 'Current' values — unlike every other update kind,"When approving a Todo update, the card shows 'Update Todo' as the title and a 'Changes' block whose first row is `Todo: 7f3a9c2e-…` (a raw UUID) plus only the changed fields. There is no 'Current' section showing the Todo's existing title/note/status, so the user cannot see what they are changing FROM, and cannot even tell which Todo this is by name. Person, Project, and Journal-Entry updates all render a Current-vs-Proposed (or Replacing-with) diff; Todo is the one update kind that does not, which is exactly the surface where the user is being asked to approve a mutation blind.","At minimum, resolve and display the Todo's name instead of the raw UUID (the warm library-items cache used by DecidedLibraryLink already maps id→title), so the header/diff reads 'Update Todo: «Backfill contacts»'. Ideally add a current_todo to ProposalReviewContext and render a Current-vs-Changes diff to match the other update kinds.",fixed,
D33,Proposal Card,ux,low,Ambiguous intent-graph node never shows WHAT it matched — only a dead-end 'Needs disambiguation' badge,"When Inkstone recognizes an item that matches more than one existing entry, the node row shows a red 'Needs disambiguation' badge, its Accept button is disabled, and a footer note says 'They can only be dismissed for now.' The user is never shown the competing entities (the node's `candidates`), so they cannot understand the conflict, cannot resolve it, and cannot accept the item — their only option is to reject the whole node. On the most important trust surface this is a confusing dead end: the app says 'this matches multiple things' but refuses to say which things.","In GraphNodeRow, when disposition === 'ambiguous', render node.candidates (each candidate.label) the same advisory way the 2+ near-match branch already renders near_matches (ProposalCard.tsx:1779-1781), e.g. 'Matches existing: A, B'. This gives the user the conflict set even before the #181 picker ships.",deferred,"Tracked as feature #181 (the disambiguation picker). The advisory near-match plumbing exists; surfacing the competing candidates is a new UI affordance, not a bug fix."
D34,Recurrence / Todo Editor,inconsistency,low,"Recurrence summary omits the anchor, so the user can't verify which date drives the repeat without opening the editor","The inspector badge says only 'Repeats weekly' but the rule actually repeats relative to either the defer date or the due date (a meaningful difference the editor forces the user to choose). Because the summary drops the anchor, two todos that behave differently look identical, and the user must open the editor to discover which date the schedule keys off.","Include the anchor in the summary when it differs from the obvious case, e.g. 'Repeats weekly (from due date)'.",fixed,
D35,Recurrence / Todo Editor,ux,low,'Anchor' recurrence field is unexplained jargon,"When a user turns on Repeats, the editor shows an 'Anchor' dropdown with options 'Defer date' / 'Due date'. There is no helper text explaining what an anchor is or that it determines which date the next occurrence is computed from. A non-technical user has no way to understand the choice; 'Anchor' is internal terminology, not task-management language.","Relabel to something like 'Repeat from' and add a short hint ('Each completion schedules the next from this date'), or phrase the options as 'From the due date' / 'From the defer date'.",fixed,
D36,Recurrence / Todo Editor,ux,low,Todo editor can only set a 'waiting on' person; existing 'related' person refs are invisible and silently preserved,"The editor exposes a single 'Waiting on' person picker. A todo can also carry `related` person references (the type supports role 'waiting_on' | 'related'), which can be created elsewhere. In the editor these related people are invisible — the user can't see them, add them, or remove them — yet they are silently carried through on save. A user editing the todo has no idea other people are linked to it.","Either surface related people in the editor (even read-only with a remove control) or document the scope; at minimum show a hint that other linked people are preserved, so the read/edit views aren't contradictory.",deferred,"Feature addition: a second person-ref role editor (related). Existing 'related' refs round-trip untouched; this adds new editing capability, not a bug fix."
D37,Run Control,error-state,low,"A run that errors with no message shows a generic ""stopped"" notice that mislabels a failure as a user stop","When a run terminates with an `error` event whose `message` is empty/absent, the bubble falls back to ""This reply stopped before it finished. Nothing was saved without your approval."" — wording that implies the USER stopped it. A real failure (worker crash, provider error with no text) is thus presented to the user as if it were a deliberate stop, hiding that an error occurred.","Give the error path its own fallback when `message.error` is empty (e.g. ""Something went wrong generating this reply. Try again."") distinct from the cancel copy, and treat an empty-string error message the same as a missing one (guard on `message.error?.trim()` rather than `??`).",fixed,
D38,Run History,ux,low,"""Older"" runs show only month/day with no year — last year's run is indistinguishable from this year's","A run from a previous calendar year lands in the ""Older"" bucket and its timestamp renders as e.g. ""Mar 5"" with no year. The user cannot tell whether it happened months ago or over a year ago, and two runs a year apart look identical.","In formatRunTime, include the year when the run's year differs from the current year (e.g. add `year: ""numeric""` conditionally when new Date(at).getFullYear() !== new Date(now).getFullYear()).",fixed,
D39,Search & Palette,bug,low,"Active index is not re-clamped when results change asynchronously, so Enter can silently no-op","If the user arrow-keys down toward the bottom of the currently-rendered results and the result set then shrinks from async data settling (lazy thread fetch completing differently, or the debounced message search returning fewer/zero hits than the previous query), the active index can point past the end of the list. No row appears selected and pressing Enter does nothing — the palette feels dead even though it is open with results.","Add an effect that clamps active into range whenever flat changes, e.g. `useEffect(() => setActive(a => Math.min(a, Math.max(flat.length - 1, 0))), [flat.length])`.",fixed,
D40,Search & Palette,ux,low,No loading / latency feedback while message search runs,"The command palette never shows any spinner, skeleton, or ""Searching…"" indicator while the server-side message full-text search is in flight. On a large local database (and message search has no result cap — see separate finding) the user sees a static, seemingly-empty or stale list with no sign that work is happening, so a slow search reads as a frozen/broken palette.","Consume isFetching from useMessageSearch and render a lightweight inline indicator (e.g. a small spinner next to the ""Messages"" group header, or a thin top progress bar in the dialog) while the debounced query is being fetched.",fixed,
D41,Search & Palette,ux,low,Matched search term is not highlighted in message snippets or any result row,"The snippet shown for a message hit (and the title/subtitle for thread/library hits) renders as plain text with no emphasis on the substring the user searched for. In a snippet truncated with ellipses, the user cannot quickly see why the row matched, making it harder to pick the right result at a glance.","Wrap the matched substring in a styled <mark> when rendering snippets/titles (split on the query case-insensitively client-side), so the user can see what matched.",deferred,"Enhancement: snippet term highlighting. Current snippet already excerpts around the match (Core sends ±pad); emphasis is polish, deferred."
D42,Settings & Providers,a11y,low,'Set as preferred' action is invisible until hover and unreachable by touch / hard to discover,"In the model catalog table, every non-preferred row's 'Set as preferred' button is rendered with `opacity-0` and only revealed on row hover (`group-hover/row:opacity-100`) or keyboard focus (`focus-visible:opacity-100`). On a touch device (no hover) the button is fully transparent yet still occupies layout — a user cannot see there is any way to change the preferred model. Even on desktop, the only way to discover you can change models is to hover each row. There is no persistent affordance indicating rows are actionable.","Keep the action faintly visible at rest (e.g. opacity-60) and brighten on hover/focus, or make the whole row clickable to set-as-preferred, so the affordance is discoverable on touch and without hover.",fixed,
D43,Settings & Providers,inconsistency,low,"Composer EffortPicker shows 'Off' before settings load, mislabeling the real effort","The composer effort chip initializes to `effort = 'off'` and displays the label 'Off' immediately on mount, before `settings/get` resolves. If the user's real saved effort is e.g. 'High', the chip briefly (or, if the fetch fails, permanently) reads 'Off' — telling the user their model won't reason when it actually will. The ModelPicker handles this more honestly with a 'Select model' placeholder, but the effort chip presents a concrete-but-wrong value.","Initialize effort to `null`/undefined and render the neutral 'Effort' label until `settings/get` resolves, mirroring the ModelPicker's 'Select model' placeholder, so the chip never claims a concrete value it hasn't confirmed.",fixed,
D44,Settings & Providers,ux,low,No save confirmation on success — a settings change gives no acknowledgement,"When a user picks an effort level or sets a preferred model in Settings, the only feedback is the optimistic highlight flipping instantly. Because the optimistic flip happens identically whether or not the save round-trips, the user gets no signal that the change was actually persisted. Combined with the silent-failure issue above, the user cannot distinguish a real save from a no-op.","Add a lightweight transient 'Saved' confirmation on the success branch (or a brief pending/saved state on the control), so the persisted state is visibly distinct from the in-flight optimistic state.",fixed,
D45,Threads & Nav,ux,low,Copy-thread-id button gives no visible confirmation that anything was copied,"A user hovers a thread row, clicks the copy icon, and nothing changes — the icon stays a Copy glyph, no checkmark, no toast, no tooltip flip. There is no way to tell the click worked, so the user is left unsure whether the id is on their clipboard. Every other copy affordance in the app (the assistant-reply CopyButton) swaps to a Check icon for 2s; the sidebar copy is the lone exception.","Reuse useCopyToClipboard in the row: track `copied` and swap the Copy icon to Check (mirroring CopyButton), or at minimum keep the icon highlighted briefly. The hook is already written and unmount-safe.",fixed,
D46,Threads & Nav,ux,low,Long thread titles truncate with no tooltip or full-text reveal,"Thread titles are the raw prompt truncated to 80 characters by Core, and the sidebar (a fixed 256px-wide column) clips them again with CSS `truncate`. When several threads share a long common prefix (e.g. ""Plan the Q3 roadmap for the ...""), the visible text is identical and there is no native `title=` tooltip on the row button, so the user cannot tell the threads apart or read the full title without opening each one.",Add `title={item.title}` to the thread-open button so the full title surfaces on hover; consider an ellipsis on Core's 80-char truncation so the cut is visually honest.,fixed,
