ID,Area,Feature,Persona,I want,So that,Expected behavior (acceptance criteria),Key files,Existing tests,Impl status (code-judged),Test result (Phase 2),Issue/Notes (Phase 2-3)
F011,Chat & Messaging,"See loading, recoverable-error, and not-found states when opening a thread",the owner,"clear feedback (skeleton, retry, or dead-end) when I open a conversation that has to be fetched",I never stare at an eternal spinner or a broken page,"useHydrateFocusedThread fetches thread/get on focus change for a non-null thread never hydrated (hydrate.ts:220-232). hydrateThread sets `loading` before the fetch then `ready`/`error`/`not_found` on settle (hydrate.ts:148-217). ChatColumn renders: a placeholder-bubble skeleton (role='status', aria-label='Loading conversation') while hydration is null/loading and there are no messages (ChatHydrating, ChatColumn.tsx:74-77, 346-363); a recoverable error card (role='alert', 'Couldn\'t load this conversation', Try again button → retryHydration) on transient fetch failure (hydrationFailed branch :66-67, ChatHydrationError :302-322); a not-found dead-end ('This thread isn\'t available', Back to New Chat → navigate('/')) when Core reports the thread missing (threadNotFound :72-73, ChatThreadNotFound :329-345). Edge: both a genuinely missing thread (UnknownThreadError, -32001) AND a malformed thread id (InvalidParamsError, -32602, e.g. a typo'd shared /thread/<bad> link) map to not_found, never the retryable error path (hydrate.ts:191-196). Edge: if a send turns a 'missing' thread live mid-fetch, the live turn is kept (status forced ready) rather than blanked to not_found (hydrate.ts:200-205).",apps/web/src/components/ChatColumn.tsx:61-77 | apps/web/src/components/ChatColumn.tsx:301-363 | apps/web/src/store/hydrate.ts:148-232 | apps/web/src/store/chat.ts:83-90,No dedicated chat-* e2e found; covered indirectly by tests/e2e/src/thread-routing.spec.ts and the store hydration unit tests (apps/web/src/store/chat.test.tsx),implemented,pass,
F012,Chat & Messaging,Reload mid-stream and resume the partial reply to completion,the owner,to refresh the page while a reply is streaming and have it pick up where it left off and finish,a refresh never loses an in-progress answer,"The Run is owned by Core, not the socket, so a refresh doesn't kill it. On reload the store reinitializes empty; hydrateThread fetches thread/get, which returns a `streaming` assistant MessageView with partial text and its run_id (protocol.rs:508-516 doc). toMessage narrows status to 'streaming' (hydrate.ts:69-74); loadThreadMessages points activeRunId at the streaming message's run (chat.ts:370-382). For each streaming message with a non-empty run_id, hydrateThread re-forks startRunStream (hydrate.ts:175-179), which calls beginRunSubscription to re-arm the snapshot bit so the resubscribe's first text_delta SETs the cumulative snapshot rather than appending (chat.ts:200-208). Core run/subscribe replies with status `running` (live hub still exists) and the cumulative snapshot, then tails (subscribe.rs:34-67). Edge: reload forgets focus; the user re-opens the thread from the sidebar (reload-mid-stream.spec.ts:22). Edge: a gated tail not yet arrived stays absent until the gate trips, then completes to the full text with exactly one assistant + one user bubble (reload-mid-stream.spec.ts:28-31).",apps/web/src/store/hydrate.ts:148-179 | apps/web/src/store/chat.ts:200-208 | apps/web/src/store/chat.ts:370-382 | crates/core/src/runs/subscribe.rs:34-67,tests/e2e/src/reload-mid-stream.spec.ts ('reload mid-stream rehydrates the partial and resumes to completion'),implemented,pass,
F013,Chat & Messaging,Keep a reply streaming while I navigate to another thread,the owner,a reply to keep streaming in the background when I switch away to another conversation or New Chat,switching contexts doesn't abort an in-progress answer,"Each run's stream fiber is retained keyed by run id in the bridge's `fibers` map (bridge.ts:24) and is NOT interrupted on focus change — only on explicit unmount/cancel (interruptRun, :171-178). startRunStream's finalizer deletes only its own map entry, identity-aware (bridge.ts:95-101). So navigating away (New Chat clears focus, the messages leave the viewport) leaves the background Run advancing; reopening the thread shows the full accumulated text. Edge: the off-screen run's deltas are still applied to the store (applyEvent targets the thread by id regardless of focus), so reopening reflects everything that streamed while off-screen.",apps/web/src/store/bridge.ts:23-106 | apps/web/src/store/bridge.ts:171-178,tests/e2e/src/background-stream.spec.ts ('a background Run keeps streaming while another thread is focused'),implemented,pass,
F014,Chat & Messaging,Retry a stopped or failed assistant reply,the owner,a clear notice and a Try again button when a reply stops before finishing or errors out,I can re-run the turn without retyping,"When a Run terminates with an error event, applyEvent marks the assistant message status 'incomplete', attaches the worker/provider error message, and settles running tool segments to 'error' (chat.ts:675-684). A cancel produces 'incomplete' with NO error attached (chat.ts:686-694). AssistantBubble renders an alert (role='alert', data-testid='assistant-error') showing message.error or the fallback 'This reply stopped before it finished. Nothing was saved without your approval.' (ChatColumn.tsx:485-495). If the preceding message is a user turn, a 'Try again' button is shown (ChatColumn.tsx:496-505) wired to onRetry, which re-issues the previous user text via the `send` path (retry, :190-202) — always `send` since the thread already exists — and invalidates the threads + run-history queries. Edge: the retry text is concatText(messages[i-1].segments), reconstructed from the prior user turn's segments (ChatColumn.tsx:231). Edge: no Try again button is shown if there is no preceding user message (onRetry undefined, :229-233).",apps/web/src/components/ChatColumn.tsx:189-202 | apps/web/src/components/ChatColumn.tsx:485-507 | apps/web/src/store/chat.ts:675-704,tests/e2e/src/run-cancel-ui.spec.ts (asserts the assistant-error settled state); apps/web/src/store/chat.test.tsx (applyEvent error/cancelled branches),implemented,pass,
F015,Chat & Messaging,Land at the latest message on load and jump to a searched message,the owner,"a freshly loaded thread to scroll to the bottom, and a ⌘K search hit to jump to and briefly highlight the matched message",I see the newest content immediately and can locate a specific message,"On cold-load/thread-switch the layout effect pins the scroller to the bottom once the thread's messages first render, keyed per-thread so streamed deltas don't re-pin, UNLESS a ?focusedMessageId anchor is pending (ChatColumn.tsx:110-117). A ⌘K message hit navigates with ?focusedMessageId; once that message is in the rendered DOM the effect scrolls it into center view (behavior:'auto', motion-reduce-safe), sets a transient lamplight highlight that fades after 1600ms, and consume-then-strips the URL param so a re-render can't re-fire the jump (ChatColumn.tsx:127-181). The matched row gets data-highlighted (UserBubble :379, AssistantBubble :461) and a search-jump-target ring. Edge: a URL-supplied focusedMessageId is CSS.escape'd before entering the attribute selector (defense-in-depth, :144). Edge: if hydration has settled and the anchored id genuinely isn't present (stale/deleted/typo'd), the anchor is stripped so it can't wedge the cold-load scroll (:147-160). message/search itself returns newest-first hits with snippet + thread_title (message.rs:17-41, protocol.rs:422-439).",apps/web/src/components/ChatColumn.tsx:92-181 | apps/web/src/components/ChatColumn.tsx:365-386 | crates/core/src/runs/message.rs:17-41,tests/e2e/src/scroll-to-message.spec.ts; tests/e2e/src/message-search.spec.ts; crates/core/src/runs/message.rs (search unit tests),implemented,pass,
F016,Chat & Messaging,"Assistant action buttons component (mock-only, not wired into the live chat)",the owner,labeled action chips (read/search/write/decide) under an assistant message,I could see what the assistant did at a glance,"AssistantActions.tsx renders a row of ghost chip Buttons, one per action, each with a kind→icon map (read→Eye, search→Search, write→Edit3, decide→CheckCircle2) and the action's label, plus data-action=<kind> (AssistantActions.tsx:5-37). It returns null when actions is undefined (:19). However it is typed against MockChatMessage (`@/data/mock/types`, AssistantActions.tsx:2) and has NO live importer — a repo-wide grep finds it referenced only by its own file. The live assistant turn instead surfaces tool activity through the segment timeline (ToolActivity via toRenderGroups in ChatColumn.tsx). Likewise useConversation.ts is a mock-data hook (`@/data/mock/conversation`) with no live importer. Edge: these are scaffolding/mock components, not part of the shipped chat behavior — treat any 'action button' requirement as served by ToolActivity + AssistantProposals in the real timeline, not AssistantActions.",apps/web/src/components/AssistantActions.tsx:1-38 | apps/web/src/lib/hooks/useConversation.ts:1-11,none found (no live importer; not exercised by chat-* e2e),stubbed,verify,
F017,Chat & Messaging,composer-keyboard-send-and-newline,the owner,,,"CRITIC-FOUND GAP (no story written yet): ComposeFooter implements a keyboard send contract the user triggers constantly but no story names: Enter sends, Shift+Enter inserts a newline, an empty/whitespace-only message is silently dropped (trim guard), the field clears on send, and crucially Enter is suppressed while a Run is active so it cannot fire a second turn over a live/parked one (Stop is click-only). The existing chat-send/stop stories cover the outcome of sending and stopping but not these input/keyboard semantics or the running-suppression guard.","/Users/lyuhongy/dev/inkstone/apps/web/src/components/ComposeFooter.tsx (submit, handleKey, focusTextarea), /Users/lyuhongy/dev/inkstone/apps/web/src/components/ComposeFooter.test.tsx",none found,unclear,verify,
F018,Threads,Create a new thread by sending a first message,the owner,to type a prompt on the welcome screen and have a new thread minted from it,"I can start a fresh conversation without any explicit ""new thread"" step","On `/` (welcome) with no focused thread, `ChatColumn.onSend` (ChatColumn.tsx:253-280) calls `sendNewThread(runtime, text)` (bridge.ts:142-163), which invokes the SDK `threadCreate(text)` → Core `thread/create` handler (thread_create.rs:27-95). Core trims the prompt; mints a Thread id, Run id, user-message id, and assistant-message id (all `Uuid::now_v7`, time-ordered); dispatches a Workflow via `dispatcher::dispatch_and_resolve`; persists thread + first Run + user message in one transaction via `db::persist_thread_with_first_run`; creates the run hub BEFORE spawning the worker; and returns `{thread_id, run_id}` (ThreadCreateResult, protocol.rs:264-268). The bridge pre-marks the new thread `hydration:""ready""` (so the post-navigate remount does NOT re-hydrate over the optimistic seed), optimistically seeds a completed user bubble + streaming assistant bubble (`seedTurn`), attaches the run, and forks the run stream. Edge/error: an empty or whitespace-only prompt is rejected with `invalid_params` (-32602) BEFORE any DB write — zero rows persisted (thread_create.rs:37-42); if `threadCreate` throws, `sendNewThread` returns `{ok:false}` with nothing seeded, ChatColumn stays on `/` and shows ""Couldn't send your message. Please try again."" (ChatColumn.tsx:274-276).",apps/web/src/components/ChatColumn.tsx:253-280 | apps/web/src/store/bridge.ts:142-163 | apps/web/src/store/bridge.ts:44-64 | crates/core/src/runs/thread_create.rs:27-95 | crates/core/src/protocol.rs:253-268,"tests/e2e/src/thread-routing.spec.ts:24-36 (""a first send mints a Thread and puts its id in the URL""); tests/e2e/src/chat-surface.spec.ts:20-36 (welcome replaced by transcript after first send)",implemented,pass,
F019,Threads,Auto-derive a thread title from the first prompt,the owner,"my new thread to be titled from the opening message, truncated sensibly",I can recognize the thread later in the sidebar without naming it myself,"In `thread_create.rs:44-46`, the title is the trimmed prompt truncated to `TITLE_MAX_CHARS = 80` Unicode scalars (`trimmed.chars().take(80).collect()`) — counted in scalars (not bytes) so the cut never splits a multi-byte character. The title is never empty because the empty-prompt guard (thread_create.rs:37-42) already rejected blanks. It is persisted via `db::insert_thread` (queries.rs:21-41) into the `threads.title` column and surfaced in `thread/list` (`ThreadSummary.title`) and `thread/get` (`ThreadGetResult.title`). Edge case noted in scroll-to-message.spec.ts:29-34: turn-1 prompt becomes the title via this 80-char truncation, which the test deliberately keeps free of the search needle so a title match can't masquerade as a body hit.",crates/core/src/runs/thread_create.rs:23-46 | crates/core/src/db/queries.rs:21-41 | crates/core/src/protocol.rs:270-278,No direct title-truncation e2e; tests/e2e/src/scroll-to-message.spec.ts:29-34 documents the title-from-prompt behavior in a comment and relies on it indirectly,implemented,pass,
F020,Threads,See all my threads listed in the sidebar,the owner,"my conversations to appear in the left sidebar, newest activity first",I can find and revisit past chats,"`Sidebar` (Sidebar.tsx) reads threads via `useThreads()` (useThreads.ts) — a TanStack Query under key `[""threads""]` that calls the SDK `threadList()` → Core `thread/list` handler (thread_list.rs:12-34). Core reads every Thread via `db::list_threads`, whose SQL orders `last_activity_at DESC` (queries.rs:61-68), and maps each row to `ThreadSummary {id, title, last_activity_at}`. The sidebar renders each thread title as a button. The list is invalidated/refetched after each send and retry via `queryClient.invalidateQueries({queryKey:[""threads""]})` (ChatColumn.tsx:199, 278). Edge cases: while loading or on error `data` is undefined → threads default to `[]` (Sidebar.tsx:25); an empty workspace shows the ""No threads yet."" empty state (Sidebar.tsx:65-68); `thread/list` is read-only so its only failure mode is an internal DB error (thread_list.rs:1-3).",apps/web/src/components/Sidebar.tsx:23-124 | apps/web/src/lib/hooks/useThreads.ts:7-20 | crates/core/src/runs/thread_list.rs:12-34 | crates/core/src/db/queries.rs:59-68 | crates/core/src/protocol.rs:270-285,none found (no dedicated thread-list e2e; chat-surface.spec.ts touches the sidebar chrome only),implemented,verify,
F021,Threads,See threads grouped by recency in the sidebar,the owner,threads bucketed into Today / Yesterday / Earlier this week / Older,the sidebar stays scannable as threads accumulate,"`groupByRecency` (Sidebar.tsx:131-156) buckets threads by `last_activity_at` on local-calendar-day boundaries: `>= startOfToday` → ""Today""; `>= startOfYesterday` → ""Yesterday""; `>= startOfWeek` (start of today minus 6 days) → ""Earlier this week""; else ""Older"". Threads arrive already newest-first from `thread/list`, so within each bucket order is preserved. Empty groups are dropped (`groups.filter(g => g.threads.length > 0)`). Each non-empty group renders a sticky section header (Sidebar.tsx:71-74). `now` defaults to `Date.now()`.",apps/web/src/components/Sidebar.tsx:128-156 | apps/web/src/components/Sidebar.tsx:64-122,none found,implemented,verify,
F022,Threads,Open a thread by clicking it in the sidebar,the owner,clicking a sidebar thread to navigate to that conversation,I can resume an earlier chat,"Each sidebar thread row is a button whose `onClick` calls `onOpenThread?.(item.id)` (Sidebar.tsx:92-104). The `_chat` layout wires `onOpenThread` to `navigate({to:""/thread/$threadId"", params:{threadId}})` (_chat.tsx:23-25). Navigation (not a store mutation) is the focus mechanism per ADR-0042; this pushes a history entry. The currently-focused row is marked from the route: `Sidebar` reads `useParams({strict:false})` and compares `item.id === threadId` to set `isCurrent`, which renders a dot indicator, `bg-secondary/70` highlight, bold text, and `aria-current=""true""` (Sidebar.tsx:20-21, 77-104). Opening the route triggers `useHydrateFocusedThread` in ChatColumn to fetch history if not already hydrated.","apps/web/src/components/Sidebar.tsx:20-21,77-104 | apps/web/src/routes/_chat.tsx:14-40 | apps/web/src/routes/_chat/thread.$threadId.tsx:11-20",none found (sidebar click→open is exercised indirectly; thread-routing.spec.ts navigates via send/Back rather than sidebar click),implemented,verify,
F023,Threads,Copy a thread's id from the sidebar,the owner,a per-thread copy-id button,I can share or reference a specific thread,"Each sidebar row has a copy button (visible on hover/focus) with `aria-label={`Copy thread id for ${item.title}`}` and title ""Copy thread id""; clicking it calls `navigator.clipboard?.writeText(item.id)` (Sidebar.tsx:105-115). The button uses the optional-chaining guard so a missing Clipboard API is a silent no-op. The id copied is the raw thread UUID, which matches the `/thread/<id>` URL form.",apps/web/src/components/Sidebar.tsx:105-115,none found,implemented,verify,
F024,Threads,Start a new chat from the sidebar,the owner,"a ""New Chat"" button that returns me to the blank welcome surface",I can begin a brand-new conversation,"The sidebar ""New Chat"" button (Sidebar.tsx:55-62) calls `onNewChat`, wired in `_chat.tsx:22` to `navigate({to:""/""})`. The `/` route renders `ChatColumn` (index.tsx:5-7) with no focused thread, so `showWelcome` is true (focusedThreadId === null && no messages) and the `ChatWelcome` empty state renders (ChatColumn.tsx:65, 207, 287-299). No thread is created until the first send (mint-on-send). Back/forward history is preserved: the New Chat → `/` transition is a normal history-writing navigation (thread-routing.spec.ts proves Back walks from a thread to the intervening `/`).","apps/web/src/components/Sidebar.tsx:55-62 | apps/web/src/routes/_chat.tsx:22 | apps/web/src/routes/_chat/index.tsx:5-7 | apps/web/src/components/ChatColumn.tsx:65,207,287-299","tests/e2e/src/thread-routing.spec.ts:90-100 (""New Chat returns to the root welcome route"")",implemented,pass,
